PR,URL,Title,Content type,Is rendered page,HTTP status code,Size (bytes),Loading time (ms),No. of IMG inlinks
0,https://utahwatergardens.com/images/IMG_3266-topaz-enhance-2x-faceai.jpeg,,image/jpeg,false,200,7154053,298,24
18,https://utahwatergardens.com/images/truxor-equipment-1.jpg,,image/jpeg,false,200,4857540,110,4125
0,https://utahwatergardens.com/images/c2658f1b-ae64-4191-ad69-14401733ecff.png,,image/png,false,200,4811226,105,1
18,https://utahwatergardens.com/images/truxor-equipment-2.jpg,,image/jpeg,false,200,4231948,259,4125
0,https://utahwatergardens.com/images/9ab8773a32e35a8b8431ca4c5a2370cb-denoise.jpeg,,image/jpeg,false,200,3673239,146,2
0,https://utahwatergardens.com/images/6d56bce84a9110e250216b5dd835c0a5-denoise.jpeg,,image/jpeg,false,200,3552083,170,2
0,https://utahwatergardens.com/images/IMG_2770.jpg,,image/jpeg,false,200,3440853,12,97
16,https://utahwatergardens.com/images/78abea67ed188112b3e3ca6446e5fa6a-denoise.jpeg,,image/jpeg,false,200,3296191,282,3639
0,https://utahwatergardens.com/images/pondServices-2.png,,image/png,false,200,3233597,11,39
2,https://utahwatergardens.com/images/IMG_3265-denoise.jpeg,,image/jpeg,false,200,3091206,155,479
1,https://utahwatergardens.com/images/IMG_2779.jpg,,image/jpeg,false,200,2875366,13,282
1,https://utahwatergardens.com/images/IMG_2775.jpg,,image/jpeg,false,200,2858439,11,291
0,https://utahwatergardens.com/images/2b9aef53da4c2aff799d5b0f08116364-denoise.jpeg,,image/jpeg,false,200,2810829,193,6
0,https://utahwatergardens.com/images/6faad4c7e141d47a1b0381312dbdefca-denoise.jpeg,,image/jpeg,false,200,2680354,186,2
2,https://utahwatergardens.com/images/IMG_3269-faceai-sharpen.jpeg,,image/jpeg,false,200,2678369,151,479
0,https://utahwatergardens.com/images/2f5160e87ccdc3259c69ecd3d8776206-denoise.jpeg,,image/jpeg,false,200,2646051,143,9
0,https://utahwatergardens.com/images/9a6a85478f82960b2ce177e0310807c8-denoise.jpeg,,image/jpeg,false,200,2590405,231,2
0,https://utahwatergardens.com/images/67ce17ef8342aaab304526d946257b38-denoise.jpeg,,image/jpeg,false,200,2583478,237,2
0,https://utahwatergardens.com/images/IMG_2776.jpg,,image/jpeg,false,200,2545392,20,14
0,https://utahwatergardens.com/images/f502726727f39aa2a972ad523bed9e85-sharpen.jpeg,,image/jpeg,false,200,2523547,159,2
0,https://utahwatergardens.com/images/d7db0208422b815e133b7d22542bc71a-denoise.jpeg,,image/jpeg,false,200,2476747,229,1
0,https://utahwatergardens.com/images/f635258ea3d2083ed598d07e9470ac64-denoise.jpeg,,image/jpeg,false,200,2438384,120,2
1,https://utahwatergardens.com/images/1a9b7904c3461d26b8b9b177164f11c4-denoise.jpeg,,image/jpeg,false,200,2229049,114,190
0,https://utahwatergardens.com/images/IMG_2782.jpg,,image/jpeg,false,200,2172803,13,36
3,https://utahwatergardens.com/images/pondDredging-topaz-enhance-3.9x.jpeg,,image/jpeg,false,200,2146210,12,666
18,https://utahwatergardens.com/images/IMG_8910-rotated-topaz-enhance-2.1x.jpeg,,image/jpeg,false,200,2120556,14,4079
2,https://utahwatergardens.com/images/pondMaintenance-topaz-denoise-enhance-3.9x.jpeg,,image/jpeg,false,200,2102642,110,486
0,https://utahwatergardens.com/images/d3cb101ddb5ea21f682b256fb7aacf93-enhance-4x.jpeg,,image/jpeg,false,200,1911591,109,2
0,https://utahwatergardens.com/images/IMG_2780.jpg,,image/jpeg,false,200,1775402,112,60
1,https://utahwatergardens.com/images/pondCleanings-topaz-enhance-3.9x.jpeg,,image/jpeg,false,200,1718287,97,196
0,https://utahwatergardens.com/images/c3470b7f30ad7f6e6930bdeb0c4f85c8-sharpen.jpeg,,image/jpeg,false,200,1665548,112,1
0,https://utahwatergardens.com/images/95cdafaba2e877860b42f017ad84afab-enhance-4x.jpeg,,image/jpeg,false,200,1655613,110,1
0,https://utahwatergardens.com/images/443bd1b5cddc4d945e924f40dfbcba96-enhance-4x.jpeg,,image/jpeg,false,200,1639791,95,1
0,https://utahwatergardens.com/images/cropped-20140919_105345-topaz-enhance-3.2x.jpeg,,image/jpeg,false,200,1612568,113,3
1,https://utahwatergardens.com/images/0cc90ccee5b37dfa6aed153a01581727-enhance-4x.jpeg,,image/jpeg,false,200,1579702,19,187
1,https://utahwatergardens.com/images/2b1a14d52ea7e62a36a62f1a2da7203a-enhance-4x.jpeg,,image/jpeg,false,200,1578848,114,192
1,https://utahwatergardens.com/images/5aa18b8372424c85813aa67ea1c6814d-enhance-4x.jpeg,,image/jpeg,false,200,1570739,122,187
0,https://utahwatergardens.com/images/f37a8a5be4354f891e25467eebf500b6-enhance-4x.jpeg,,image/jpeg,false,200,1557652,103,1
16,https://utahwatergardens.com/images/74fbce0371cdb09efb1c704f539bc7f6-enhance-4x.jpeg,,image/jpeg,false,200,1538018,108,3639
0,https://utahwatergardens.com/images/9e49a00419a2222e5e5fe0a5bebe34f4-enhance-4x.jpeg,,image/jpeg,false,200,1517817,91,2
0,https://utahwatergardens.com/images/pondCleanings.png,,image/png,false,200,1511811,83,1
0,https://utahwatergardens.com/images/50b7c5b5336aff2aeaf6690696e3e42f-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1483240,80,1
1,https://utahwatergardens.com/images/31df9f7919a035760e792bef0b3d2bb1-enhance-4x.jpeg,,image/jpeg,false,200,1462726,109,187
0,https://utahwatergardens.com/images/c73b4863a384bb723ed702f0c2a3aa44-enhance-4x.jpeg,,image/jpeg,false,200,1443280,121,1
16,https://utahwatergardens.com/images/76858a7a39560138d598f10f201740f7-enhance-4x.jpeg,,image/jpeg,false,200,1439831,126,3639
1,https://utahwatergardens.com/images/1a558e9d94802fd824b157129ebe0e1d-enhance-4x.jpeg,,image/jpeg,false,200,1438755,87,190
0,https://utahwatergardens.com/images/e565fe286bf3f1fadc33cf8757a93b85-enhance-4x.jpeg,,image/jpeg,false,200,1435918,93,4
0,https://utahwatergardens.com/images/c7d15d3b1c3ea3c8cbbcabceebfbbf25-sharpen.jpeg,,image/jpeg,false,200,1426447,86,1
0,https://utahwatergardens.com/images/3d2fae9073eaf132d58ccd476da8fdc7-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1421178,116,1
0,https://utahwatergardens.com/images/41bc4bcb74c80d5770a1168c8373dd89-sharpen.jpeg,,image/jpeg,false,200,1412254,127,1
0,https://utahwatergardens.com/images/e6608a4e328ffded9ac60dbcaf4c71b1-enhance-4x.jpeg,,image/jpeg,false,200,1407031,116,1
0,https://utahwatergardens.com/images/4150c9ec3a4ae862ff09fb4edab8a105-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1392668,104,1
16,https://utahwatergardens.com/images/7944d6d62f5d2d84190bdcc389014193-enhance-4x.jpeg,,image/jpeg,false,200,1389558,76,3639
0,https://utahwatergardens.com/images/915f46a740c26fb8301437faf19c7711-enhance-4x.jpeg,,image/jpeg,false,200,1389376,99,1
0,https://utahwatergardens.com/images/e30a5e90007ece2a114847492481dd9a-enhance-4x.jpeg,,image/jpeg,false,200,1372403,95,4
0,https://utahwatergardens.com/images/2a2ff15adcbcad6b2b30001e86d21d40-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1366634,117,6
0,https://utahwatergardens.com/images/ddaffd5a73e7f7c07e501744e757f4d5-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1352741,90,1
0,https://utahwatergardens.com/images/a68f5846d64bba8feebcef312d7bfd24-sharpen.jpeg,,image/jpeg,false,200,1338446,126,1
2,https://utahwatergardens.com/images/IMG_3263-faceai-sharpen.jpeg,,image/jpeg,false,200,1324961,79,479
0,https://utahwatergardens.com/images/a7da75b080b639d3ca4962092011eea0-enhance-4x.jpeg,,image/jpeg,false,200,1317350,98,1
0,https://utahwatergardens.com/images/c9d181c6825a98a44d73180b923bbc69-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1313173,116,1
3,https://utahwatergardens.com/images/2b5d2f918801edaa8047c2741195122c-enhance-4x.jpeg,,image/jpeg,false,200,1304464,99,666
0,https://utahwatergardens.com/images/a2f13a6fa6605287e6578c3fe26cc94d-enhance-4x.jpeg,,image/jpeg,false,200,1304331,95,1
0,https://utahwatergardens.com/images/c6c164f38c0f50f8aaf6a8a66152e5db-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1297279,160,1
0,https://utahwatergardens.com/images/a27cb0627c39a5184b51cc152a9ae837-enhance-4x.jpeg,,image/jpeg,false,200,1284479,93,2
1,https://utahwatergardens.com/images/2d38a8065acb69433f4ac7658de69f6c-enhance-4x.jpeg,,image/jpeg,false,200,1195784,87,190
0,https://utahwatergardens.com/images/b912a3f21b5bad3ad31288399483df63-enhance-4x.jpeg,,image/jpeg,false,200,1187638,99,1
0,https://utahwatergardens.com/images/b4dda81b66ed3f80f0f0a641b09fcf90-enhance-4x.jpeg,,image/jpeg,false,200,1181784,106,1
0,https://utahwatergardens.com/images/df28e743d124a752ed0a69ca677ee6d9-enhance-4x.jpeg,,image/jpeg,false,200,1150541,111,3
0,https://utahwatergardens.com/images/e040a38e5f0bcd988e8abc11eaddca1d-enhance-4x.jpeg,,image/jpeg,false,200,1149219,89,1
0,https://utahwatergardens.com/images/c9fb8447cf9fddf89cafb96a3606b316-sharpen.jpeg,,image/jpeg,false,200,1136706,97,1
0,https://utahwatergardens.com/images/e6c96ccb6e5cd3efd8a92681c4e717be-enhance-4x.jpeg,,image/jpeg,false,200,1128760,105,3
0,https://utahwatergardens.com/images/3e8c02a910ecc02bd046359713860a2c%20(1)-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1117451,73,1
1,https://utahwatergardens.com/images/3e8c02a910ecc02bd046359713860a2c-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1117430,14,189
1,https://utahwatergardens.com/images/1c7c15865a8fd7d198a5c69c3087e91c-enhance-4x.jpeg,,image/jpeg,false,200,1037199,13,191
0,https://utahwatergardens.com/images/c2e5455e8bace88209b0fe4abf1e033f-denoise-enhance-4x.jpeg,,image/jpeg,false,200,1018832,4689,1
1,https://utahwatergardens.com/images/0791fabd2c70c52627dbb8ec300e2377-enhance-4x.jpeg,,image/jpeg,false,200,1017127,104,187
