type,area,description,source,contact,address,features,status,confidence,business_type,service_category,rating,review_count,years_in_business,website,coordinates,username,platform,post_url,engagement,post_date,content_type,price_range,property_type,listing_date,contact_info,business_name,hours,project_type,project_value,completion_date,customer_satisfaction,project_size,services_used
real_estate,Salt Lake City,Property in Salt Lake City with pondless waterfall,Real Estate Listing,Real Estate Agent,"Sample Address, Salt Lake City, UT",pond,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",residential,2024,(801) 767-4668,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for pond design,Local Directory,(385) 606-5752,"Business Address, Salt Lake City, UT",pond design,service_provider,high,pond_service,design,4.8,,18,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for koi pond,Local Directory,(385) 978-1673,"Business Address, Salt Lake City, UT",koi pond,service_provider,high,pond_service,specialty,3.7,,3,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Salt Lake City,Service listing in Salt Lake City for garden pond,Local Directory,(435) 670-7325,"Business Address, Salt Lake City, UT",natural pond,service_provider,high,pond_service,specialty,5.8,,21,https://www.saltlakecitypondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about pond liner in Salt Lake City,Instagram,@pondmaster_utah,"Posted from Salt Lake City, UT",pond liner,potential_customer,low,,,,,,,,pondmaster_utah,Instagram,https://www.instagram.com/p/XYZ789/,263,2024,story,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about aquascape in Salt Lake City,Pinterest,@utahwaterguru,"Posted from Salt Lake City, UT",aquascape,potential_customer,low,,,,,,,,utahwaterguru,Pinterest,https://www.pinterest.com/pin/589860735/,54,2024,text,,,,,,,,,,,,
social_media,Salt Lake City,Social media post about pond repair in Salt Lake City,Pinterest,@cottonwoodponds,"Posted from Salt Lake City, UT",pond repair,potential_customer,low,,,,,,,,cottonwoodponds,Pinterest,https://www.pinterest.com/pin/106047260/,11,2024,video,,,,,,,,,,,,
google_maps,Salt Lake City,Google Maps location for water feature store in Salt Lake City,Google Maps,(385) 615-2612,"Maps Address, Salt Lake City, UT",water feature store,business_location,high,,,3.0,226,,https://www.saltlakecitywaterfeaturestore.com,"41.163144, -112.352298",,,,,,,,,,,Salt Lake City Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Salt Lake City,Google Maps location for garden center in Salt Lake City,Google Maps,(385) 850-4816,"Maps Address, Salt Lake City, UT",garden center,business_location,high,,,4.8,65,,https://www.saltlakecitygardencenter.com,"41.118748, -111.920060",,,,,,,,,,,Salt Lake City Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,West Jordan,Property in West Jordan with pond aerator,Real Estate Listing,Real Estate Agent,"Sample Address, West Jordan, UT",fountain,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",commercial,2024,(435) 415-8837,,,,,,,,
real_estate,West Jordan,Property in West Jordan with garden pond,Real Estate Listing,Real Estate Agent,"Sample Address, West Jordan, UT",pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(801) 228-6448,,,,,,,,
directory,West Jordan,Service listing in West Jordan for pond cleaning,Local Directory,(435) 557-6075,"Business Address, West Jordan, UT",water feature maintenance,service_provider,high,pond_service,maintenance,4.5,,19,https://www.westjordanpondservice.com,,,,,,,,,,,,,,,,,,,
directory,West Jordan,Service listing in West Jordan for aquascape design,Local Directory,(801) 148-2794,"Business Address, West Jordan, UT",water feature design,service_provider,high,pond_service,design,3.1,,21,https://www.westjordanpondservice.com,,,,,,,,,,,,,,,,,,,
directory,West Jordan,Service listing in West Jordan for water feature maintenance,Local Directory,(385) 978-6935,"Business Address, West Jordan, UT",pond cleaning,service_provider,high,pond_service,maintenance,5.4,,1,https://www.westjordanpondservice.com,,,,,,,,,,,,,,,,,,,
social_media,West Jordan,Social media post about aquascape in West Jordan,Nextdoor,@cottonwoodponds,"Posted from West Jordan, UT",aquascape,potential_customer,low,,,,,,,,cottonwoodponds,Nextdoor,https://www.nextdoor.com/p/ABC123,84,2024,text,,,,,,,,,,,,
social_media,West Jordan,Social media post about pond design in West Jordan,Nextdoor,@waterfeaturepro,"Posted from West Jordan, UT",pond design,potential_customer,low,,,,,,,,waterfeaturepro,Nextdoor,https://www.nextdoor.com/p/DEF456,30,2024,video,,,,,,,,,,,,
social_media,West Jordan,Social media post about pond skimmer in West Jordan,Nextdoor,@provoponds,"Posted from West Jordan, UT",pond skimmer,potential_customer,low,,,,,,,,provoponds,Nextdoor,https://www.nextdoor.com/p/ABC123,273,2024,video,,,,,,,,,,,,
social_media,West Jordan,Social media post about pond liner in West Jordan,Pinterest,@stgeorgewater,"Posted from West Jordan, UT",pond liner,potential_customer,low,,,,,,,,stgeorgewater,Pinterest,https://www.pinterest.com/pin/649682209/,467,2024,text,,,,,,,,,,,,
google_maps,West Jordan,Google Maps location for water feature store in West Jordan,Google Maps,(801) 200-5073,"Maps Address, West Jordan, UT",water feature store,business_location,high,,,3.4,203,,https://www.westjordanwaterfeaturestore.com,"40.600959, -112.326199",,,,,,,,,,,West Jordan Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,West Jordan,Google Maps location for pond service company in West Jordan,Google Maps,(801) 798-4422,"Maps Address, West Jordan, UT",pond service company,business_location,high,,,5.7,339,,https://www.westjordanpondservicecompany.com,"40.983429, -111.992519",,,,,,,,,,,West Jordan Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,West Jordan,Google Maps location for pond supply store in West Jordan,Google Maps,(435) 786-3629,"Maps Address, West Jordan, UT",pond supply store,business_location,high,,,5.5,102,,https://www.westjordanpondsupplystore.com,"41.207188, -111.631646",,,,,,,,,,,West Jordan Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,West Jordan,Google Maps location for water feature store in West Jordan,Google Maps,(385) 959-5209,"Maps Address, West Jordan, UT",water feature store,business_location,high,,,3.2,229,,https://www.westjordanwaterfeaturestore.com,"40.904961, -111.552710",,,,,,,,,,,West Jordan Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,West Jordan,Google Maps location for pond service company in West Jordan,Google Maps,(801) 271-8908,"Maps Address, West Jordan, UT",pond service company,business_location,high,,,3.7,185,,https://www.westjordanpondservicecompany.com,"40.918109, -111.638948",,,,,,,,,,,West Jordan Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Sandy,Property in Sandy with pond construction,Real Estate Listing,Real Estate Agent,"Sample Address, Sandy, UT",fountain,existing,medium,,,,,,,,,,,,,,"$1,000,000 - $1,500,000",residential,2024,(801) 264-4916,,,,,,,,
directory,Sandy,Service listing in Sandy for filter maintenance,Local Directory,(385) 463-1805,"Business Address, Sandy, UT",pond cleaning,service_provider,high,pond_service,maintenance,3.0,,22,https://www.sandypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Sandy,Service listing in Sandy for fountain installation,Local Directory,(435) 365-8419,"Business Address, Sandy, UT",water feature installation,service_provider,high,pond_service,installation,3.6,,2,https://www.sandypondservice.com,,,,,,,,,,,,,,,,,,,
directory,Sandy,Service listing in Sandy for koi pond,Local Directory,(385) 552-8580,"Business Address, Sandy, UT",garden pond,service_provider,high,pond_service,specialty,5.3,,9,https://www.sandypondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Sandy,Social media post about pond installation in Sandy,Twitter,@provoponds,"Posted from Sandy, UT",pond installation,potential_customer,low,,,,,,,,provoponds,Twitter,https://www.twitter.com/provoponds/status/5378015702103847531,77,2024,story,,,,,,,,,,,,
social_media,Sandy,Social media post about fountain in Sandy,Instagram,@sandygardens,"Posted from Sandy, UT",fountain,potential_customer,low,,,,,,,,sandygardens,Instagram,https://www.instagram.com/p/GHI789/,26,2024,video,,,,,,,,,,,,
social_media,Sandy,Social media post about waterfall in Sandy,Twitter,@slcwaterfeatures,"Posted from Sandy, UT",waterfall,potential_customer,low,,,,,,,,slcwaterfeatures,Twitter,https://www.twitter.com/slcwaterfeatures/status/6241554800309884738,344,2024,video,,,,,,,,,,,,
google_maps,Sandy,Google Maps location for pond supply store in Sandy,Google Maps,(801) 451-5883,"Maps Address, Sandy, UT",pond supply store,business_location,high,,,4.3,112,,https://www.sandypondsupplystore.com,"41.117209, -112.213655",,,,,,,,,,,Sandy Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for pond supply store in Sandy,Google Maps,(385) 191-5568,"Maps Address, Sandy, UT",pond supply store,business_location,high,,,5.4,311,,https://www.sandypondsupplystore.com,"41.167659, -111.822481",,,,,,,,,,,Sandy Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for pond supply store in Sandy,Google Maps,(385) 751-6597,"Maps Address, Sandy, UT",pond supply store,business_location,high,,,3.7,499,,https://www.sandypondsupplystore.com,"41.203073, -112.283978",,,,,,,,,,,Sandy Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for pond supply store in Sandy,Google Maps,(435) 871-4208,"Maps Address, Sandy, UT",pond supply store,business_location,high,,,5.3,25,,https://www.sandypondsupplystore.com,"41.220741, -111.765685",,,,,,,,,,,Sandy Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Sandy,Google Maps location for garden center in Sandy,Google Maps,(801) 103-1074,"Maps Address, Sandy, UT",garden center,business_location,high,,,5.2,493,,https://www.sandygardencenter.com,"40.915850, -112.128466",,,,,,,,,,,Sandy Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Ogden,Property in Ogden with pond skimmer,Real Estate Listing,Real Estate Agent,"Sample Address, Ogden, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(385) 962-3369,,,,,,,,
real_estate,Ogden,Property in Ogden with pond aerator,Real Estate Listing,Real Estate Agent,"Sample Address, Ogden, UT",water feature,existing,medium,,,,,,,,,,,,,,"$1,500,000+",vacant land,2024,(435) 502-3879,,,,,,,,
real_estate,Ogden,Property in Ogden with pond filter,Real Estate Listing,Real Estate Agent,"Sample Address, Ogden, UT",pond,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",residential,2024,(385) 753-5974,,,,,,,,
directory,Ogden,Service listing in Ogden for pump repair,Local Directory,(801) 706-6253,"Business Address, Ogden, UT",filter repair,service_provider,high,pond_service,repair,4.2,,17,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for pond repair,Local Directory,(435) 909-3214,"Business Address, Ogden, UT",pump repair,service_provider,high,pond_service,repair,5.3,,24,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for filter repair,Local Directory,(385) 485-8203,"Business Address, Ogden, UT",leak repair,service_provider,high,pond_service,repair,3.4,,11,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for garden pond,Local Directory,(385) 615-6096,"Business Address, Ogden, UT",garden pond,service_provider,high,pond_service,specialty,5.4,,9,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
directory,Ogden,Service listing in Ogden for pond design,Local Directory,(385) 500-6937,"Business Address, Ogden, UT",water feature design,service_provider,high,pond_service,design,5.5,,21,https://www.ogdenpondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Ogden,Social media post about pond maintenance in Ogden,Nextdoor,@ogdenwaterworks,"Posted from Ogden, UT",pond maintenance,potential_customer,low,,,,,,,,ogdenwaterworks,Nextdoor,https://www.nextdoor.com/p/DEF456,402,2024,video,,,,,,,,,,,,
social_media,Ogden,Social media post about pond maintenance in Ogden,Nextdoor,@bountifulponds,"Posted from Ogden, UT",pond maintenance,potential_customer,low,,,,,,,,bountifulponds,Nextdoor,https://www.nextdoor.com/p/DEF456,378,2024,text,,,,,,,,,,,,
social_media,Ogden,Social media post about waterfall in Ogden,Nextdoor,@ogdenwaterworks,"Posted from Ogden, UT",waterfall,potential_customer,low,,,,,,,,ogdenwaterworks,Nextdoor,https://www.nextdoor.com/p/XYZ789,384,2024,story,,,,,,,,,,,,
social_media,Ogden,Social media post about pondless waterfall in Ogden,Facebook,@ogdenwaterworks,"Posted from Ogden, UT",pondless waterfall,potential_customer,low,,,,,,,,ogdenwaterworks,Facebook,https://www.facebook.com/ogdenwaterworks/posts/112215376,417,2024,text,,,,,,,,,,,,
social_media,Ogden,Social media post about pondless waterfall in Ogden,Instagram,@draperwaterfeatures,"Posted from Ogden, UT",pondless waterfall,potential_customer,low,,,,,,,,draperwaterfeatures,Instagram,https://www.instagram.com/p/ABC123/,228,2024,video,,,,,,,,,,,,
google_maps,Ogden,Google Maps location for water feature store in Ogden,Google Maps,(801) 620-8653,"Maps Address, Ogden, UT",water feature store,business_location,high,,,5.8,319,,https://www.ogdenwaterfeaturestore.com,"40.718366, -112.469788",,,,,,,,,,,Ogden Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Ogden,Google Maps location for water feature store in Ogden,Google Maps,(435) 486-1391,"Maps Address, Ogden, UT",water feature store,business_location,high,,,5.8,491,,https://www.ogdenwaterfeaturestore.com,"41.420884, -111.579388",,,,,,,,,,,Ogden Water Feature Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Ogden,Google Maps location for pond supply store in Ogden,Google Maps,(435) 330-9170,"Maps Address, Ogden, UT",pond supply store,business_location,high,,,4.9,268,,https://www.ogdenpondsupplystore.com,"40.577374, -111.693364",,,,,,,,,,,Ogden Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
real_estate,Provo,Property in Provo with koi pond,Real Estate Listing,Real Estate Agent,"Sample Address, Provo, UT",water feature,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",residential,2024,(385) 601-6766,,,,,,,,
real_estate,Provo,Property in Provo with pond repair,Real Estate Listing,Real Estate Agent,"Sample Address, Provo, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$750,000 - $1,000,000",residential,2024,(435) 857-9198,,,,,,,,
real_estate,Provo,Property in Provo with fountain,Real Estate Listing,Real Estate Agent,"Sample Address, Provo, UT",koi pond,existing,medium,,,,,,,,,,,,,,"$300,000 - $500,000",vacant land,2024,(385) 831-5550,,,,,,,,
directory,Provo,Service listing in Provo for water feature design,Local Directory,(435) 434-6940,"Business Address, Provo, UT",pond design,service_provider,high,pond_service,design,3.3,,7,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
directory,Provo,Service listing in Provo for water feature maintenance,Local Directory,(385) 865-2128,"Business Address, Provo, UT",pond cleaning,service_provider,high,pond_service,maintenance,5.0,,2,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
directory,Provo,Service listing in Provo for water feature design,Local Directory,(435) 874-5829,"Business Address, Provo, UT",water feature design,service_provider,high,pond_service,design,3.3,,19,https://www.provopondservice.com,,,,,,,,,,,,,,,,,,,
social_media,Provo,Social media post about pond pump in Provo,Instagram,@southjordangardens,"Posted from Provo, UT",pond pump,potential_customer,low,,,,,,,,southjordangardens,Instagram,https://www.instagram.com/p/ABC123/,126,2024,story,,,,,,,,,,,,
social_media,Provo,Social media post about pond heater in Provo,Pinterest,@holladaygardens,"Posted from Provo, UT",pond heater,potential_customer,low,,,,,,,,holladaygardens,Pinterest,https://www.pinterest.com/pin/322088353/,348,2024,video,,,,,,,,,,,,
social_media,Provo,Social media post about water feature maintenance in Provo,Twitter,@ogdenwaterworks,"Posted from Provo, UT",water feature maintenance,potential_customer,low,,,,,,,,ogdenwaterworks,Twitter,https://www.twitter.com/ogdenwaterworks/status/1794740404762313915,328,2024,text,,,,,,,,,,,,
social_media,Provo,Social media post about creek in Provo,Instagram,@cottonwoodponds,"Posted from Provo, UT",creek,potential_customer,low,,,,,,,,cottonwoodponds,Instagram,https://www.instagram.com/p/XYZ789/,156,2024,photo,,,,,,,,,,,,
google_maps,Provo,Google Maps location for pond supply store in Provo,Google Maps,(801) 441-6143,"Maps Address, Provo, UT",pond supply store,business_location,high,,,4.4,223,,https://www.provopondsupplystore.com,"40.657254, -111.696961",,,,,,,,,,,Provo Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for garden center in Provo,Google Maps,(801) 183-2654,"Maps Address, Provo, UT",garden center,business_location,high,,,5.1,416,,https://www.provogardencenter.com,"41.387407, -111.915593",,,,,,,,,,,Provo Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for pond service company in Provo,Google Maps,(435) 426-9497,"Maps Address, Provo, UT",pond service company,business_location,high,,,4.4,52,,https://www.provopondservicecompany.com,"41.084146, -112.186202",,,,,,,,,,,Provo Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,commercial,"$5,000 - $10,000",2023,good,medium,repair
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,public,"$50,000 - $100,000",2021,very good,large,installation
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,commercial,"$25,000 - $50,000",2022,excellent,small,maintenance
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: View our Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$25,000 - $50,000",2024,excellent,large,design
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,public,"$25,000 - $50,000",2020,good,medium,repair
competitor_project,Various Utah Locations,Project found on https://www.utahwaterfeatures.com/: Take time and watch the above projects slide show...,https://www.utahwaterfeatures.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$50,000 - $100,000",2021,very good,small,repair
